synaptic_scale,threshold,mean_lateral_selectivity,mean_dn_response_rate,mean_total_spikes,max_peak_fraction,mean_late_fraction,feasible,frontier
0.004,0.8,0.20833333333333334,0.021666666666666667,53915.25,0.007327915117307203,0.5658332025856064,True,True
0.004,1.0,0.3333333333333333,0.005833333333333334,31258.0,0.004420973583168808,0.424403270977307,True,True
0.008,0.8,0.47222222222222227,0.015,131338.25,0.015237218541442086,0.5503403636947988,True,True
0.008,1.0,-0.08055555555555555,0.03833333333333334,102166.0,0.014795121183125204,0.5786954097885125,True,True
0.008,1.2,-0.24074074074074073,0.0325,80355.25,0.010634561112389628,0.566793323306884,True,True
0.016,0.8,-0.09656084656084658,0.047499999999999994,297009.25,0.03398093530843861,0.5417269200456432,True,True
0.016,1.0,0.23326118326118328,0.04666666666666667,241436.0,0.029590242366250408,0.5424535817752971,True,True
0.016,1.2,-0.12301587301587302,0.03166666666666667,197260.25,0.024260849553663352,0.5402546446738486,True,True
