synaptic_scale,threshold,odor_channel,stimulus_side,dn_type,left_spikes,right_spikes,ipsilateral_rate,contralateral_rate,lateral_selectivity,total_population_spikes,peak_population_fraction,late_spike_fraction
0.004,0.8,ORN_VA2,R,DNa02,0,1,0.01,0.0,1.0,52980,0.007327915117307203,0.5807097017742544
0.004,0.8,ORN_VA2,R,DNg13,0,0,0.0,0.0,0.0,52980,0.007327915117307203,0.5807097017742544
0.004,1.0,ORN_DM1,L,DNa01,0,1,0.0,0.01,-1.0,39990,0.004106054916970483,0.5733183295823956
0.004,1.0,ORN_DM1,L,DNa02,1,0,0.01,0.0,1.0,39990,0.004106054916970483,0.5733183295823956
0.004,1.0,ORN_DM1,L,DNg13,0,0,0.0,0.0,0.0,39990,0.004106054916970483,0.5733183295823956
0.004,1.0,ORN_DM1,R,DNa01,0,1,0.01,0.0,1.0,43943,0.004420973583168808,0.5434995334865621
0.004,1.0,ORN_DM1,R,DNa02,0,2,0.02,0.0,1.0,43943,0.004420973583168808,0.5434995334865621
0.004,1.0,ORN_DM1,R,DNg13,0,0,0.0,0.0,0.0,43943,0.004420973583168808,0.5434995334865621
0.004,1.0,ORN_VA2,L,DNa01,0,0,0.0,0.0,0.0,255,0.00029675028160996113,0.0
0.004,1.0,ORN_VA2,L,DNa02,0,0,0.0,0.0,0.0,255,0.00029675028160996113,0.0
0.004,1.0,ORN_VA2,L,DNg13,0,0,0.0,0.0,0.0,255,0.00029675028160996113,0.0
0.004,1.0,ORN_VA2,R,DNa01,0,1,0.01,0.0,1.0,40844,0.00391225881469459,0.5807952208402702
0.004,1.0,ORN_VA2,R,DNa02,0,1,0.01,0.0,1.0,40844,0.00391225881469459,0.5807952208402702
0.004,1.0,ORN_VA2,R,DNg13,0,0,0.0,0.0,0.0,40844,0.00391225881469459,0.5807952208402702
0.004,1.2,ORN_DM1,L,DNa01,0,0,0.0,0.0,0.0,30800,0.0030280640980608277,0.5874350649350649
0.004,1.2,ORN_DM1,L,DNa02,0,0,0.0,0.0,0.0,30800,0.0030280640980608277,0.5874350649350649
0.004,1.2,ORN_DM1,L,DNg13,0,0,0.0,0.0,0.0,30800,0.0030280640980608277,0.5874350649350649
0.004,1.2,ORN_DM1,R,DNa01,0,0,0.0,0.0,0.0,33848,0.003609452404888507,0.5657645946584732
0.004,1.2,ORN_DM1,R,DNa02,0,0,0.0,0.0,0.0,33848,0.003609452404888507,0.5657645946584732
